Id,Semester,AcademicLevel,Subject,Campus,Title,Instructors,DeliveryMode,InstructionalFormat,Schedule,Units,Capacity,Enrolled,Status,StartDate,EndDate,Co-LocatesWith,Description
COURSE_SECTION_DEFINITION-3-32606,Fall 2020,Undergraduate,Animation,TBD,ANIMA-1000-1 : Animation 1,Andrew Lyndon,Online,Studio,Mon/Thu 4:00-07:00PM,3,18,16,Closed,2020-09-02,2020-12-15,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources. This course will introduce students to the basic forms and terminology of animation, and provide training in fluid representations of motion and expression. Instruction will emphasize traditional character animation techniques such as character development, exaggeration, timing, acting and weight. The course will provide a good grounding for basic animation skills and production processes. The classes will often include film screening from across styles and animation historical contexts to further demonstrate the topics covered in class."
COURSE_SECTION_DEFINITION-3-33677,Spring 2021,Undergraduate,Animation,TBD,ANIMA-1000-1 : Animation 1,Christine Richard,Online,Studio,"Wed/Fri 4:00-05:25PM, Online - FA-14",3,15,0,Open,2021-01-25,2021-05-09,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources.This class is an introduction to basic principles of character animation and expressive form in motion. We&#39;ll begin by looking at great animated sequences for evidence of how to create believable material transformations, actions, or humor in time-based narratives; Goofy&#39;s expressions, Popeye&#39;s distortions, Betty Boop&#39;s walk, or the Coyote&#39;s variety of disintegrations are all represented by motion, distortion, weight, exaggeration, and storytelling. We will focus on these and other traditional character animation principles with smaller weekly assignments via drawings, flip books, acting, storyboards, and quicktime movies generated in Adobe After Effects. Mid and final projects will encourage experimental approaches to animated imagery and presentation of phenomena, including time, abstraction, memory, narrative, or a joke. Since humor is timing and story, jokes will play a significant role in parsing the temporal; and because delivery is often cinematic, film principles will be integrated. We will have guest animators from Pixar and other places to talk about their work and discuss yours. Assignments and projects will involve the use of After Effects, which will be introduced and used to create movies of 2D animations. Photoshop, and digital still and video cameras may be used as well."
COURSE_SECTION_DEFINITION-3-33678,Spring 2021,Undergraduate,Animation,TBD,ANIMA-1000-2 : Animation 1,Andrew Lyndon,Online,Studio,"Wed/Fri 4:00-05:25PM, Online - FA-1",3,18,0,Open,2021-01-25,2021-05-09,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources.This class is an introduction to basic principles of character animation and expressive form in motion. We&#39;ll begin by looking at great animated sequences for evidence of how to create believable material transformations, actions, or humor in time-based narratives; Goofy&#39;s expressions, Popeye&#39;s distortions, Betty Boop&#39;s walk, or the Coyote&#39;s variety of disintegrations are all represented by motion, distortion, weight, exaggeration, and storytelling. We will focus on these and other traditional character animation principles with smaller weekly assignments via drawings, flip books, acting, storyboards, and quicktime movies generated in Adobe After Effects. Mid and final projects will encourage experimental approaches to animated imagery and presentation of phenomena, including time, abstraction, memory, narrative, or a joke. Since humor is timing and story, jokes will play a significant role in parsing the temporal; and because delivery is often cinematic, film principles will be integrated. We will have guest animators from Pixar and other places to talk about their work and discuss yours. Assignments and projects will involve the use of After Effects, which will be introduced and used to create movies of 2D animations. Photoshop, and digital still and video cameras may be used as well."
COURSE_SECTION_DEFINITION-3-32607,Fall 2020,Undergraduate,Animation,TBD,ANIMA-1000-2 : Animation 1,Christine Richard,Online,Studio,Tue/Fri 4:00-07:00PM,3,18,10,Open,2020-09-02,2020-12-15,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources. This course will introduce students to the basic forms and terminology of animation, and provide training in fluid representations of motion and expression. Instruction will emphasize traditional character animation techniques such as character development, exaggeration, timing, acting and weight. The course will provide a good grounding for basic animation skills and production processes. The classes will often include film screening from across styles and animation historical contexts to further demonstrate the topics covered in class."
COURSE_SECTION_DEFINITION-3-34479,Spring 2021,Undergraduate,Animation,TBD,ANIMA-1000-3 : Animation 1,Wallace Keller,Online,Studio,Fri 12:00-02:55PM,3,18,0,Open,2021-01-25,2021-05-09,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources.This class is an introduction to basic principles of character animation and expressive form in motion. We&#39;ll begin by looking at great animated sequences for evidence of how to create believable material transformations, actions, or humor in time-based narratives; Goofy&#39;s expressions, Popeye&#39;s distortions, Betty Boop&#39;s walk, or the Coyote&#39;s variety of disintegrations are all represented by motion, distortion, weight, exaggeration, and storytelling. We will focus on these and other traditional character animation principles with smaller weekly assignments via drawings, flip books, acting, storyboards, and quicktime movies generated in Adobe After Effects. Mid and final projects will encourage experimental approaches to animated imagery and presentation of phenomena, including time, abstraction, memory, narrative, or a joke. Since humor is timing and story, jokes will play a significant role in parsing the temporal; and because delivery is often cinematic, film principles will be integrated. We will have guest animators from Pixar and other places to talk about their work and discuss yours. Assignments and projects will involve the use of After Effects, which will be introduced and used to create movies of 2D animations. Photoshop, and digital still and video cameras may be used as well."
COURSE_SECTION_DEFINITION-3-32608,Fall 2020,Undergraduate,Animation,TBD,ANIMA-1000-3 : Animation 1,Patricia Kavanaugh,Online,Studio,Tue/Fri 4:00-07:00PM,3,18,13,Open,2020-09-02,2020-12-15,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources. This course will introduce students to the basic forms and terminology of animation, and provide training in fluid representations of motion and expression. Instruction will emphasize traditional character animation techniques such as character development, exaggeration, timing, acting and weight. The course will provide a good grounding for basic animation skills and production processes. The classes will often include film screening from across styles and animation historical contexts to further demonstrate the topics covered in class."
COURSE_SECTION_DEFINITION-3-32609,Fall 2020,Undergraduate,Animation,TBD,ANIMA-1000-4 : Animation 1,Meg Bisineer,Online,Studio,Mon/Thu 4:00-07:00PM,3,18,18,Closed,2020-09-02,2020-12-15,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources. This course will introduce students to the basic forms and terminology of animation, and provide training in fluid representations of motion and expression. Instruction will emphasize traditional character animation techniques such as character development, exaggeration, timing, acting and weight. The course will provide a good grounding for basic animation skills and production processes. The classes will often include film screening from across styles and animation historical contexts to further demonstrate the topics covered in class."
COURSE_SECTION_DEFINITION-3-33679,Spring 2021,Undergraduate,Animation,TBD,ANIMA-2000-1 : Animation 2,George Evelyn,Online,Studio,"Mon/Thu 4:00-05:25PM, Online - FA-9",3,15,0,Open,2021-01-25,2021-05-09,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources.Animation 2 expands upon core character animation skills learned in Animation 1, further expanding skills in personal imagery, narrative, and materials. Animators are simultaneously actors and directors, so we&#39;ll get deeply into acting and expression; designing and sequencing shots (storyboarding); film style, dialogue and Foley sound, and most of all, timing. Exercises will include animating to well known film dialogue: &#34;Are you talking to me?&#34; designing character and movement to express subtle emotions such as &#34;suspicious&#34; or &#34;vain&#34;; and use of alternative materials as vehicles for expression. Frequent exercises will produce multiple films and images, while a long term collaborative midterm and an independent final project will offer sustained concentration on a theme and development."
COURSE_SECTION_DEFINITION-3-33680,Spring 2021,Undergraduate,Animation,TBD,ANIMA-2000-2 : Animation 2,Amy A Lu,Online,Studio,"Mon/Thu 8:00-09:25PM, Online - FA-4",3,15,0,Open,2021-01-25,2021-05-09,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources.Animation 2 expands upon core character animation skills learned in Animation 1, further expanding skills in personal imagery, narrative, and materials. Animators are simultaneously actors and directors, so we&#39;ll get deeply into acting and expression; designing and sequencing shots (storyboarding); film style, dialogue and Foley sound, and most of all, timing. Exercises will include animating to well known film dialogue: &#34;Are you talking to me?&#34; designing character and movement to express subtle emotions such as &#34;suspicious&#34; or &#34;vain&#34;; and use of alternative materials as vehicles for expression. Frequent exercises will produce multiple films and images, while a long term collaborative midterm and an independent final project will offer sustained concentration on a theme and development."
COURSE_SECTION_DEFINITION-3-33399,Fall 2020,Undergraduate,Animation,TBD,ANIMA-2000-2 : Animation 2,Ed Bell,Online,Studio,Mon/Thu 12:00-03:00PM,3,18,11,Open,2020-09-02,2020-12-15,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources. This course builds upon core character animation skills learned in Animation 1, expanded into more challenging weight, dialogue, body mechanics, and acting dynamics. Students will gain an understanding of how the human body moves and what motivates a move. They will learn how to use live action reference and to transfer observations into fluid body mechanics and character performance. The goal is to give students a proper foundation and a workflow they can use when they move onto advanced character-driven animation classes. Students will practice animation through weekly assignments and a final project."
