,S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
0,1,10% Laxmi Bank Debenture 2086,3,1055.0,1050.0,1055.0,90.0,94750.0,1041.1,13.9
1,2,10% Sanima Bank Limited Debenture,2,1055.0,1055.0,1055.0,50.0,52750.0,1055.0,0.0
2,3,10% Sunrise Debenture 2080,1,1040.0,1040.0,1040.0,175.0,182000.0,1040.0,0.0
3,4,10.25% Machhapuchhre Bank Debenture 2085,5,1097.0,1075.1,1075.1,200.0,216221.3,1119.0,-43.9
4,5,10.25% NIC Asia Debenture 2083/84,1,1050.6,1050.6,1050.6,200.0,210120.0,1030.0,20.6
5,6,10.25% SBL Debenture 2083,3,1075.1,1053.6,1053.6,125.0,131915.0,1097.0,-43.4
6,7,10.35% Agricultural Bank Debenture 2083,5,1071.0,1050.0,1052.1,250.0,265202.5,1053.1,-1.0
7,8,11% NIC Asia Debenture 082/83,2,1111.0,1102.0,1111.0,150.0,165750.0,1080.5,30.5
8,9,12 % Goodwill Finance Limited Debenture 2083,10,1190.0,1160.0,1190.0,460.0,541810.0,1160.0,30.0
9,10,12% ICFC Finance Limited Debenture 2083,1,1180.0,1180.0,1180.0,25.0,29500.0,1170.0,10.0
10,11,8.5% Sanima Debenture 2087,6,987.0,986.2,986.2,95.0,93737.0,986.2,0.0
11,12,8.5% SBL Debenture 2084,1,982.5,982.5,982.5,25.0,24562.5,981.1,1.4
12,13,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,145,1730.0,1651.0,1651.0,5028.0,8393226.5,1697.0,-46.0
13,14,Agriculture Development Bank Limited,421,586.0,576.0,580.0,98808.0,57198073.5,581.0,-1.0
14,15,Ajod Insurance Limited,372,854.0,830.0,848.0,15522.0,12967658.0,837.9,10.1
15,16,Ankhu Khola Jalvidhyut Company Ltd,514,424.4,394.0,409.0,53384.0,21497474.5,400.0,9.0
16,17,Api Power Company Ltd.,4214,659.0,611.0,631.0,855879.0,538060513.2,607.2,23.8
17,18,Arun Kabeli Power Ltd.,2247,637.0,617.1,631.0,507218.0,318922036.4,619.0,12.0
18,19,Arun Valley Hydropower Development Co. Ltd.,4161,640.0,603.0,628.0,1080224.0,674855860.3,601.0,27.0
19,20,Asha Laghubitta Bittiya Sanstha Ltd,81,1935.0,1884.0,1899.0,3404.0,6477142.6,1921.0,-22.0
20,21,Asian Life Insurance Co. Limited,157,1410.0,1375.0,1400.0,17179.0,24059790.5,1400.0,0.0
21,22,Bank of Kathmandu Ltd.,437,408.0,401.1,403.5,65145.0,26237457.3,405.0,-1.5
22,23,Barun Hydropower Co. Ltd.,1609,701.6,650.0,692.0,275310.0,188149505.6,637.9,54.1
23,24,Best Finance Company Ltd.,1033,535.0,491.0,526.0,132287.0,66640817.1,488.0,38.0
24,25,Bishal Bazar Company Limited,72,6785.0,6500.0,6750.0,1194.0,7954597.0,6570.0,180.0
25,26,Bottlers Nepal (Terai) Limited,9,10700.0,10600.0,10650.0,180.0,1916110.0,10700.2,-50.2
26,27,Butwal Power Company Limited,2516,703.0,666.4,679.0,432621.0,296061462.7,669.0,10.0
27,28,CEDB Hydropower Development Company Limited,1259,970.0,926.0,949.0,46679.0,44545092.0,940.0,15.0
28,29,Central Finance Co. Ltd.,878,585.0,550.0,585.0,174406.0,98458636.2,550.0,35.0
29,30,Century Commercial Bank Ltd.,781,292.5,285.0,286.0,156382.0,44948238.2,289.5,-3.5
30,31,Chandragiri Hills Limited,495,1569.0,1510.0,1543.0,13676.0,21112582.0,1588.0,-45.0
31,32,Chhimek Laghubitta Bikas Bank Limited,622,1919.0,1883.0,1890.0,38751.0,73305020.5,1911.0,-21.0
32,33,Chhyangdi Hydropower Ltd.,616,695.0,655.0,670.0,116524.0,78254054.1,655.0,15.0
33,34,Chilime Hydropower Company Limited,1443,741.0,715.0,732.0,252704.0,183906565.5,740.0,-8.0
34,35,Citizen Bank International Limited,667,411.0,405.2,406.5,141113.0,57412561.5,410.0,-3.5
35,36,Citizen Investment Trust,259,4324.0,4195.0,4200.0,13697.0,57796883.6,4248.0,-48.0
36,37,Citizens Mutual Fund -1,42,14.48,14.33,14.35,77700.0,1117130.0,14.5,-0.15
37,38,CITIZENS MUTUAL FUND 2,23,15.5,14.98,15.42,15400.0,233920.0,15.22,0.2
38,39,Civil Bank Ltd,775,295.0,290.0,291.0,132276.0,38538212.3,292.6,-1.6
39,40,Civil Laghubitta Bittiya Sanstha Ltd.,107,1688.0,1614.0,1639.0,7025.0,11525926.1,1655.0,-16.0
40,41,Corporate Development Bank Limited,445,968.0,895.0,968.0,41472.0,38897353.3,880.0,88.0
41,42,Deprosc Laghubitta Bittiya Sanstha Limited,518,1860.0,1818.0,1825.0,27914.0,50973062.4,1850.0,-25.0
42,43,Dibyashwori Hydropower Ltd.,689,401.8,388.1,401.0,99610.0,39429840.9,390.0,11.0
43,44,Everest Bank Limited,303,765.0,755.0,760.0,59570.0,45184386.6,761.0,-1.0
44,45,Everest Insurance Co. Ltd.,188,795.0,777.8,795.0,15685.0,12339808.5,778.0,17.0
45,46,Everest Insurance Co. Ltd. Promoter Share,53,506.0,465.6,480.6,14282.0,7001234.4,475.0,5.6
46,47,Excel Development Bank Ltd.,92,1072.0,1051.8,1051.8,22999.0,24296767.6,1070.0,-18.2
47,48,First Micro Finance Development Bank Ltd.,1198,1082.0,1032.1,1050.0,210761.0,222205543.7,1080.0,-30.0
48,49,Forward Community Microfinance Bittiya Sanstha Ltd.,262,3099.0,2995.0,3000.0,12659.0,38177127.3,3052.0,-52.0
49,50,Ganapati Microfinance Bittiya Sanstha Limited,30,1745.0,1722.0,1735.0,960.0,1667040.5,1750.0,-15.0
50,51,Garima Bikas Bank Limited,614,598.0,577.0,584.1,103518.0,60433755.9,588.0,-3.9
51,52,General Insurance Company Nepal Ltd,392,738.0,715.5,727.0,11803.0,8568024.8,724.0,3.0
52,53,Ghalemdi Hydro Limited,427,516.0,489.2,497.0,59524.0,29788057.5,496.0,1.0
53,54,Global IME Bank Limited,1145,485.0,478.1,480.0,202869.0,97464139.7,482.0,-2.0
54,55,Global IME Laghubitta Bittiya Sanstha Ltd.,151,2710.0,2670.0,2670.0,4820.0,12937113.5,2694.0,-24.0
55,56,Global IME Samunnat Scheme-1,58,23.7,22.74,23.63,226704.0,5348194.2,23.27,0.36
56,57,Goodwill Finance Co. Ltd.,552,799.9,760.0,796.0,79814.0,62296986.2,768.9,27.1
57,58,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,360,1319.0,1280.0,1281.0,48046.0,61718285.7,1305.0,-24.0
58,59,Green Development Bank Ltd.,496,496.5,442.0,466.0,69588.0,31740838.5,458.0,8.0
59,60,GreenLife Hydropower Limited,1056,622.0,580.0,583.0,91197.0,54295570.8,590.0,-7.0
60,61,Guheshowori Merchant Bank & Finance Co. Ltd.,622,593.0,556.0,592.0,104987.0,60478321.1,557.0,35.0
61,62,Gurans Laghubitta Bittiya Sanstha Limited,44,1960.0,1921.0,1945.0,1030.0,1995048.0,1950.0,-5.0
62,63,Gurans Life Insurance Company Ltd.,460,813.0,795.0,800.0,66989.0,53778905.7,806.5,-6.5
63,64,Gurkhas Finance Ltd.,178,1156.0,1115.0,1152.0,21790.0,24709721.1,1135.0,17.0
64,65,Himal Dolakha Hydropower Company Limited,2867,413.9,387.0,406.9,675890.0,268513137.5,387.0,19.9
65,66,Himalaya Urja Bikas Company Limited,665,591.8,528.0,590.0,158360.0,89215120.7,538.0,52.0
66,67,Himalayan Distillery Limited,329,6749.0,6670.0,6675.0,14752.0,98730522.3,6749.0,-74.0
67,68,Himalayan General Insurance Co. Ltd,191,870.0,850.0,862.0,24847.0,21399308.8,851.0,11.0
68,69,Himalayan Power Partner Ltd.,1265,690.8,625.0,690.8,315382.0,213900574.5,628.0,62.8
69,70,Hydorelectricity Investment and Development Company Ltd,1670,459.0,445.0,459.0,391360.0,176280112.9,455.0,4.0
70,71,ICFC Finance Limited,1766,739.2,668.0,739.2,452942.0,322820591.5,672.0,67.2
71,72,IME General Insurance Ltd.,386,1299.0,1265.0,1285.0,51773.0,66046148.9,1291.0,-6.0
72,73,Infinity Laghubitta Bittiya Sanstha Limited,98,1980.0,1950.0,1970.0,4892.0,9585229.7,1977.0,-7.0
73,74,Janaki Finance Ltd.,522,680.0,645.0,658.0,88966.0,58412989.3,660.0,-2.0
74,75,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,53,3739.0,3660.0,3699.0,1857.0,6829345.9,3701.0,-2.0
75,76,Jeevan Bikas laghubitta bittya sanstha ltd,29,1822.4,1688.8,1822.4,240.0,430418.5,1656.8,165.6
76,77,Joshi Hydropower Development Company Ltd,535,447.0,426.0,438.0,73028.0,31730843.6,430.0,7.0
77,78,Jyoti Bikas Bank Limited,1512,519.0,501.0,502.0,229581.0,116339184.1,510.6,-8.6
78,79,Jyoti Life Insurance Ltd,881,775.0,761.0,765.5,19113.0,14690249.7,773.0,-7.5
79,80,Kalika Microcredit Development Bank Ltd.,159,1555.0,1505.0,1526.0,14224.0,21527783.9,1550.0,-24.0
80,81,Kalika power Company Ltd,656,853.0,775.0,815.0,92568.0,74787619.0,780.0,35.0
81,82,Kamana Sewa Bikas Bank Limited,492,597.0,584.6,587.0,76552.0,44975745.4,591.0,-4.0
82,83,Karnali Development Bank Limited,937,498.7,458.0,474.0,144133.0,68243417.8,489.0,-19.0
83,84,Khanikhola Hydropower Co. Ltd.,646,402.0,385.0,400.0,71006.0,27879079.2,383.0,17.0
84,85,Kisan Lagubitta Bittiya Sanstha Limited,39,1679.0,1646.0,1658.0,1715.0,2843429.6,1677.0,-19.0
85,86,Kumari Bank Limited,832,388.0,383.0,383.0,146709.0,56401649.8,386.5,-3.5
86,87,Kumari Equity Fund,86,10.75,10.54,10.63,179100.0,1900216.5,10.75,-0.12
87,88,Laxmi Bank Limited,273,410.0,403.0,404.5,45964.0,18605287.9,409.0,-4.5
88,89,Laxmi Equity Fund,61,12.41,12.17,12.17,152444.0,1868992.46,12.3,-0.13
89,90,Laxmi Laghubitta Bittiya Sanstha Ltd.,49,2348.0,2302.0,2348.0,3082.0,7137223.0,2344.0,4.0
90,91,Laxmi Unnati Kosh,34,11.5,11.32,11.44,44654.0,508531.45,11.5,-0.06
91,92,Liberty Energy Company Limited,1242,525.0,486.1,519.0,182598.0,93744189.4,496.0,23.0
92,93,Life Insurance Co. Nepal,54,2450.0,2390.0,2450.0,4617.0,11145757.0,2420.0,30.0
93,94,Lumbini Bikas Bank Ltd.,517,638.0,615.0,622.9,87828.0,54564666.1,627.0,-4.1
94,95,Lumbini General Insurance Co. Ltd.,236,849.0,825.0,835.0,37989.0,31705323.7,834.0,1.0
95,96,Machhapuchhre Bank Limited,386,421.7,415.7,416.0,99199.0,41382170.0,418.9,-2.9
96,97,Mahalaxmi Bikas Bank Ltd.,672,528.3,510.1,513.0,124476.0,64003598.0,518.0,-5.0
97,98,Mahila Lagubitta Bittiya Sanstha Limited,115,5010.0,4925.0,5000.0,3464.0,17221064.0,5020.0,-20.0
