Date,Time,Latitude,Longitude,Magnitude,Epicentre
"2017/04/24","17:04","27.86","85.77","4.2","Sindhupalchowk"
"2017/02/27","10:06","27.38","86.13","4.7","Ramechhap"
"2017/02/27","09:22","27.36","86.12","4.6","Ramechhap"
"2017/02/18","06:00","27.79","84.80","4.0","Dhading"
"2017/02/04","17:58","27.73","86.08","4.4","Dolakha"
"2016/11/28","5:20","27.79","86.58","5.6","Ramechap/Solukhumbu"
"2016/10/17","10:03","27.87","85.30","4.0","Nuwakot"
"2016/10/15","18:22","28.04","85.17","4.1","Rasuwa"
"2016/10/12","14:14","27.66","85.95","4.1","Dolakha"
"2016/10/11","12:53","27.67","85.95","4.6","Dolakha"
"2016/10/07","10:37","27.65","86.13","4.2","Dolakha"
"2015/08/15","10:10","27.87","86.08","4.1","Dolakha"
"2015/08/14","18:47","27.59","85.97","4.3","Dolakha"
"2015/08/13","01:49","27.72","85.20","4.0","Kathmandu"
"2015/08/11","10:42","27.70","85.29","4.3","Kathmandu"
"2015/08/10","04:15","28.14","84.72","4.9","Gorkha"
"2015/08/09","07:55","27.94","85.52","4.1","Sindupalchok"
"2015/08/08","21:25","27.69","86.26","4.1","Dolakha"
"2015/08/08","06:24","27.77","85.70","4.0","Sindupalchok"
"2015/08/07","11:57","27.50","85.50","4.4","Kavre"
"2015/08/06","20:36","27.86","85.76","4.1","Sindupalchok"
"2015/08/05","17:38","27.63","86.07","4.1","Dolakha"
"2015/05/28","05:12","27.64","85.31","4.0","Kathmandu"
"2015/05/28","03:40","27.95","84.80","4.0","Dhading"
"2015/05/28","03:07","27.99","84.79","4.0","Dhading"
"2015/05/27","22:29","28.04","85.13","4.2","Nuwakot"
"2015/05/27","13:16","27.89","85.53","4.6","Sindhupalchowk"
"2015/05/27","13:15","27.91","85.53","4.5","Sindhupalchowk"
"2015/05/27","12:03","27.59","86.20","4.2","Dolakha"
"2015/05/26","22:52","28.02","85.26","5.0","Rasuwa"
"2015/05/26","20:00","27.54","85.43","4.3","Lalitpur"
"2015/05/26","18:39","27.71","86.05","4.1","Dolakha"
"2015/05/26","17:48","27.63","86.30","4.1","Dolakha"
"2015/05/12","15:14","27.70","86.01","4.2","Dolakha"
"2015/05/12","14:47","27.80","86.12","4.7","Dolakha"
"2015/05/12","14:44","27.76","86.31","5.3","Dolakha"
"2015/05/12","14:24","27.69","86.21","4.7","Dolakha"
"2015/05/12","14:20","27.68","86.23","4.7","Dolakha"
"2015/05/12","14:19","27.88","85.94","4.8","Sindhupalchok"
"2015/05/12","14:09","27.79","86.11","5.0","Dolakha"
"2015/05/12","14:06","27.66","86.17","5.2","Dolakha"
"2015/05/12","13:58","27.80","85.83","5.3","Sindhupalchok"
"2015/05/12","13:51","27.80","85.94","5.1","Sindhupalchok"
"2015/05/12","13:46","27.68","86.04","4.3","Dolakha"
