ID,Title,City,State,Latitude,Longitude
1,AB Mobara,RIO DE JANEIRO,RJ,-22.9492299,-43.3479999
2,AB Mobara Barra da Tijuca,RIO DE JANEIRO,RJ,-23.0011848,-43.3874822
3,AB MOBARA MADUREIRA,RIO DE JANEIRO,RJ,-22.882002,-43.34918
4,AB Mobara Nova Iguaçu,NOVA IGUAÇU,RJ,-22.7575911,-43.4538445
5,AIKA VEÍCULOS,SINOP,MT,-11.8730439,-55.4981782
6,ANDRÉ RIBEIRO - GRU,GUARULHOS,SP,-23.4726696,-46.5235917
7,ANDRÉ RIBEIRO - SANTO ANDRÉ,SANTO ANDRÉ,SP,-23.663295,-46.530817
8,André Ribeiro - SBC,SÃO BERNARDO DO CAMPO,SP,-23.72029,-46.549528
9,ANDRÉ RIBEIRO - SP,SÃO PAULO,SP,-23.56796,-46.499956
10,ARNALDO,JUAZEIRO DO NORTE,CE,-7.183674,-39.323726
11,AUTO CAMPO,VÁRZEA GRANDE,MT,-15.6373428,-56.1201165
