account number,name,sku,category,quantity,unit price,ext price,date
296809,Carroll PLC,QN-82852,Belt,13,44.48,578.24,9/27/2014 7:13
98022,Heidenreich-Bosco,MJ-21460,Shoes,19,53.62,1018.78,7/29/2014 2:10
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,12,24.16,289.92,3/1/2014 10:51
93356,Waters-Walker,AS-93055,Shirt,5,82.68,413.4,11/17/2013 20:41
659366,Waelchi-Fahey,AS-93055,Shirt,18,99.64,1793.52,1/3/2014 8:14
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,17,52.82,897.94,12/4/2013 2:07
995267,Cole-Eichmann,GS-86623,Shoes,18,15.28,275.04,4/9/2014 16:15
524021,Hegmann and Sons,LL-46261,Shoes,7,78.78,551.46,6/18/2014 19:25
929400,"Senger, Upton and Breitenberg",LW-86841,Shoes,17,38.19,649.23,2/10/2014 5:55
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,12,26.98,323.76,5/20/2014 0:21
995267,Cole-Eichmann,KV-99194,Shirt,19,60.22,1144.18,3/10/2014 6:23
524021,Hegmann and Sons,QN-82852,Belt,6,13.12,78.72,11/3/2013 18:38
758133,"Kihn, McClure and Denesik",LL-46261,Shoes,4,59.69,238.76,1/11/2014 21:48
555594,"Ernser, Cruickshank and Lind",FK-71853,Shirt,12,97.25,1167,9/19/2014 13:20
201259,Koelpin PLC,GS-86623,Shoes,9,81.44,732.96,8/12/2014 8:05
93356,Waters-Walker,LL-46261,Shoes,18,53.33,959.94,7/15/2014 23:21
563905,"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,4,35.62,142.48,10/5/2014 23:38
201259,Koelpin PLC,KV-99194,Shirt,17,98.23,1669.91,1/26/2014 1:52
758133,"Kihn, McClure and Denesik",WJ-02096,Belt,15,69.52,1042.8,11/13/2013 21:38
296809,Carroll PLC,VG-32047,Shirt,12,80.12,961.44,5/24/2014 16:03
750461,"Volkman, Goyette and Lemke",WJ-02096,Belt,13,81.19,1055.47,1/8/2014 2:45
929400,"Senger, Upton and Breitenberg",LL-46261,Shoes,2,48.15,96.3,4/28/2014 7:01
563905,"Kerluke, Reilly and Bechtelar",MJ-21460,Shoes,1,54.94,54.94,8/9/2014 11:22
734922,Berge LLC,QN-82852,Belt,4,57.75,231,11/4/2013 9:48
296809,Carroll PLC,AS-93055,Shirt,14,47.68,667.52,1/12/2014 0:28
304860,Huel-Haag,QN-82852,Belt,2,41.4,82.8,9/23/2014 2:36
563905,"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,6,58.52,351.12,3/14/2014 2:28
750461,"Volkman, Goyette and Lemke",LL-46261,Shoes,12,96.62,1159.44,12/13/2013 3:19
850140,Kunze Inc,KV-99194,Shirt,12,93.67,1124.04,2/19/2014 6:03
115138,Gorczany-Hahn,VG-32047,Shirt,12,72.63,871.56,2/7/2014 3:30
711951,Kilback-Gerlach,AS-93055,Shirt,2,90.8,181.6,3/26/2014 20:56
676847,Hamill-Hackett,AS-93055,Shirt,6,42.96,257.76,11/14/2013 22:16
711951,Kilback-Gerlach,AS-93055,Shirt,1,71.5,71.5,4/14/2014 16:58
305803,"Davis, Kshlerin and Reilly",AS-93055,Shirt,1,74.43,74.43,9/20/2014 9:49
201259,Koelpin PLC,GS-86623,Shoes,8,35.38,283.04,12/12/2013 2:37
115138,Gorczany-Hahn,QN-82852,Belt,16,24.87,397.92,2/20/2014 7:42
296809,Carroll PLC,WJ-02096,Belt,14,15.33,214.62,12/3/2013 1:25
93356,Waters-Walker,AS-93055,Shirt,12,94.34,1132.08,9/4/2014 13:39
850140,Kunze Inc,MJ-21460,Shoes,18,12.78,230.04,2/20/2014 13:18
676847,Hamill-Hackett,LL-46261,Shoes,3,28.71,86.13,1/2/2014 12:49
115138,Gorczany-Hahn,VG-32047,Shirt,11,11.21,123.31,12/10/2013 20:13
201259,Koelpin PLC,KV-99194,Shirt,4,29.79,119.16,11/7/2013 17:43
201259,Koelpin PLC,LW-86841,Shoes,11,35.82,394.02,6/21/2014 19:49
676847,Hamill-Hackett,WJ-02096,Belt,6,55.43,332.58,8/8/2014 13:50
304860,Huel-Haag,GS-86623,Shoes,4,95.75,383,3/15/2014 12:50
304860,Huel-Haag,MJ-21460,Shoes,10,12.63,126.3,6/5/2014 22:34
850140,Kunze Inc,MJ-21460,Shoes,10,26.21,262.1,4/21/2014 2:14
758133,"Kihn, McClure and Denesik",LW-86841,Shoes,11,92.1,1013.1,3/21/2014 14:26
750461,"Volkman, Goyette and Lemke",MJ-21460,Shoes,10,98.27,982.7,10/2/2014 4:41
555594,"Ernser, Cruickshank and Lind",FK-71853,Shirt,6,65.4,392.4,9/17/2014 19:15
995267,Cole-Eichmann,KV-99194,Shirt,10,23.79,237.9,11/17/2013 23:56
201259,Koelpin PLC,MJ-21460,Shoes,7,52.01,364.07,5/23/2014 17:49
758133,"Kihn, McClure and Denesik",FK-71853,Shirt,11,13.06,143.66,3/1/2014 8:58
850140,Kunze Inc,GS-86623,Shoes,14,92.43,1294.02,8/3/2014 21:22
201259,Koelpin PLC,FK-71853,Shirt,14,57.69,807.66,5/26/2014 16:29
555594,"Ernser, Cruickshank and Lind",KV-99194,Shirt,10,83.05,830.5,1/5/2014 10:16
98022,Heidenreich-Bosco,GS-86623,Shoes,10,26.49,264.9,2/12/2014 7:27
929400,"Senger, Upton and Breitenberg",GS-86623,Shoes,15,88.24,1323.6,7/9/2014 19:31
305803,"Davis, Kshlerin and Reilly",LL-46261,Shoes,13,75.38,979.94,3/5/2014 9:26
850140,Kunze Inc,LW-86841,Shoes,16,66.61,1065.76,7/25/2014 22:56
734922,Berge LLC,GS-86623,Shoes,3,99.88,299.64,8/4/2014 23:08
995267,Cole-Eichmann,AS-93055,Shirt,7,41.75,292.25,7/8/2014 15:01
115138,Gorczany-Hahn,AS-93055,Shirt,13,22.23,288.99,1/13/2014 18:31
929400,"Senger, Upton and Breitenberg",QN-82852,Belt,18,71.38,1284.84,9/24/2014 4:14
98022,Heidenreich-Bosco,LW-86841,Shoes,9,89.82,808.38,11/30/2013 23:19
115138,Gorczany-Hahn,KV-99194,Shirt,10,85.12,851.2,5/17/2014 3:23
555594,"Ernser, Cruickshank and Lind",VG-32047,Shirt,17,75.04,1275.68,2/9/2014 16:56
750461,"Volkman, Goyette and Lemke",KV-99194,Shirt,3,45.05,135.15,2/17/2014 4:26
563905,"Kerluke, Reilly and Bechtelar",GS-86623,Shoes,16,76.77,1228.32,1/5/2014 2:40
659366,Waelchi-Fahey,VG-32047,Shirt,11,99.09,1089.99,7/15/2014 21:09
555594,"Ernser, Cruickshank and Lind",AS-93055,Shirt,3,71.25,213.75,9/29/2014 6:24
563905,"Kerluke, Reilly and Bechtelar",QN-82852,Belt,14,40.3,564.2,1/15/2014 18:10
659366,Waelchi-Fahey,AS-93055,Shirt,1,10.38,10.38,9/12/2014 21:26
304860,Huel-Haag,GS-86623,Shoes,8,69.32,554.56,8/5/2014 15:34
758133,"Kihn, McClure and Denesik",QN-82852,Belt,12,82.74,992.88,7/28/2014 0:55
524021,Hegmann and Sons,QN-82852,Belt,17,81.64,1387.88,5/29/2014 5:51
676847,Hamill-Hackett,LL-46261,Shoes,5,50.63,253.15,10/22/2014 11:43
850140,Kunze Inc,LW-86841,Shoes,6,81.41,488.46,9/11/2014 8:41
115138,Gorczany-Hahn,QN-82852,Belt,13,18.45,239.85,1/19/2014 21:22
563905,"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,17,17.36,295.12,1/29/2014 14:09
304860,Huel-Haag,AS-93055,Shirt,9,55.09,495.81,6/28/2014 22:39
995267,Cole-Eichmann,LL-46261,Shoes,3,17.54,52.62,1/17/2014 19:11
758133,"Kihn, McClure and Denesik",AS-93055,Shirt,7,82.51,577.57,1/13/2014 8:06
304860,Huel-Haag,WJ-02096,Belt,3,14.9,44.7,11/21/2013 14:28
659366,Waelchi-Fahey,FK-71853,Shirt,6,89.05,534.3,5/15/2014 2:19
563905,"Kerluke, Reilly and Bechtelar",QN-82852,Belt,18,57.99,1043.82,9/25/2014 6:23
201259,Koelpin PLC,VG-32047,Shirt,1,35.82,35.82,4/1/2014 11:12
734922,Berge LLC,LW-86841,Shoes,5,56,280,11/22/2013 17:45
555594,"Ernser, Cruickshank and Lind",WJ-02096,Belt,7,77.52,542.64,2/1/2014 9:30
555594,"Ernser, Cruickshank and Lind",LL-46261,Shoes,12,47.07,564.84,8/8/2014 11:08
758133,"Kihn, McClure and Denesik",KV-99194,Shirt,18,70.12,1262.16,10/25/2013 3:43
